nro,rnt,nombre_comercial,direccion,telefono,localidad,servicio_a_domicilio,telefono_a_domicilio,pagina_web
97,16463,Corral Gourmet La Candelaria,Calle 11 No 5 - 60,334 85 67 -,Candelaria,NR,NA,www.elcorralgourmet.com
281,29812,Don Jediondo Sopitas y Parrilla,Transversal 55 No 98 A - 66 Local 318,600 16 33 -,Barrios Unidos,Sí,600 16 33,www.donjediondo.com
274,28397,Papa Jhons Salitre,Calle 24 A No 69 C - 52,NR,Fontibón,NR,NA,www.papajohns.com.co
314,30767,PPC Pollo; Pizza; Carne,Centro Comercial Plaza de Las Américas Carrera 71 D No 6  - 94 Sur Local 2525,413 76 60 -,Kennedy,No,NA,www.ppc.com.co
17,14351,Corral Gourmet 116,Avenida Calle 116 No 15 - 65,215 31 55 -,Usaquén,NR,NA,www.elcorralgourmet.com
140,22096,Hamburguesas el Corral Torre Cuzesar,Avenida Calle 116 No 7 - 15 Interior 2,NR,Usaquén,No,NA,www.elcorral.com
78,14892,Taqueria Calle 93,Calle 93 A No 11 - 49 Local 2,616 76 71 - 616 75 68,Chapinero,NR,NA,NR
200,26319,Hamburguesas el Corral Gran Estación,Centro Comercial Gran Estación Avenida Calle 26 No 62 - 47 Local 314 - 315,NR,Teusaquillo,No,NA,www.elcorral.com
127,21515,Brasa Roja Centro Comercial San Martin,Centro Comercial San Martín Carrera 7 No 32 - 16 Local 404,NR,Santafé,Sí,600 45 65,labrasaroja.com
63,14667,Oliveto Pizza Gourmet,Carrera 5 No 70   26,212 65 70 - 212 08 07,Chapinero,Sí,212 65 70,www.olivetopizza.com / www.olivetopizzagourmet.com
299,30182,KFC,Transversal 23 No 97 - 73,316 240 86 78 -,Chapinero,Sí,600 09 09,www.kfccolombia.com
264,27623,MC Donalds Titán,Centro Comercial Titán Avenida Carrera 72 No 80 - 94,321 364 64 00,Engativá,No,NA,www.mcdonalds.com.co
